# Balance Sheet data for AAPL (quarterly)
# Data retrieved on: 2026-06-20 23:11:22

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,14667688000.0,14697926000.0,14773260000.0,14856722000.0,14939315000.0,,
Share Issued,14667688000.0,14697926000.0,14773260000.0,14856722000.0,14939315000.0,,
Net Debt,39139000000.0,45192000000.0,62723000000.0,65429000000.0,70024000000.0,,
Total Debt,84711000000.0,90509000000.0,98657000000.0,101698000000.0,98186000000.0,,
Tangible Book Value,85157000000.0,88190000000.0,73733000000.0,65830000000.0,66796000000.0,,
Invested Capital,191202000000.0,178699000000.0,172390000000.0,167528000000.0,164982000000.0,,
Working Capital,9473000000.0,-4263000000.0,-17674000000.0,-18629000000.0,-25897000000.0,,
Net Tangible Assets,85157000000.0,88190000000.0,73733000000.0,65830000000.0,66796000000.0,,
Common Stock Equity,106491000000.0,88190000000.0,73733000000.0,65830000000.0,66796000000.0,,
Total Capitalization,180895000000.0,164875000000.0,152061000000.0,148260000000.0,145362000000.0,,
Total Equity Gross Minority Interest,106491000000.0,88190000000.0,73733000000.0,65830000000.0,66796000000.0,,
Stockholders Equity,106491000000.0,88190000000.0,73733000000.0,65830000000.0,66796000000.0,,
Gains Losses Not Affecting Retained Earnings,-5375000000.0,-4854000000.0,-5571000000.0,-6369000000.0,-6363000000.0,,
Other Equity Adjustments,-5375000000.0,-4854000000.0,-5571000000.0,-6369000000.0,-6363000000.0,,
Retained Earnings,12359000000.0,-2177000000.0,-14264000000.0,-17607000000.0,-15552000000.0,,
Capital Stock,99507000000.0,95221000000.0,93568000000.0,89806000000.0,88711000000.0,,
Common Stock,99507000000.0,95221000000.0,93568000000.0,89806000000.0,88711000000.0,,
Total Liabilities Net Minority Interest,264591000000.0,291107000000.0,285508000000.0,265665000000.0,264437000000.0,,
Total Non Current Liabilities Net Minority Interest,129950000000.0,128740000000.0,119877000000.0,124545000000.0,119866000000.0,,
Other Non Current Liabilities,55546000000.0,52055000000.0,41549000000.0,42115000000.0,41300000000.0,,
Tradeand Other Payables Non Current,,,,,,,9254000000.0
Long Term Debt And Capital Lease Obligation,74404000000.0,76685000000.0,78328000000.0,82430000000.0,78566000000.0,,
Long Term Debt,74404000000.0,76685000000.0,78328000000.0,82430000000.0,78566000000.0,,
Current Liabilities,134641000000.0,162367000000.0,165631000000.0,141120000000.0,144571000000.0,,
Other Current Liabilities,57654000000.0,68543000000.0,44452000000.0,62499000000.0,61849000000.0,,
Current Deferred Liabilities,9331000000.0,9413000000.0,9055000000.0,8979000000.0,8976000000.0,,
Current Deferred Revenue,9331000000.0,9413000000.0,9055000000.0,8979000000.0,8976000000.0,,
Current Debt And Capital Lease Obligation,10307000000.0,13824000000.0,20329000000.0,19268000000.0,19620000000.0,,
Current Debt,10307000000.0,13824000000.0,20329000000.0,19268000000.0,19620000000.0,,
Other Current Borrowings,8310000000.0,11827000000.0,12350000000.0,9345000000.0,13638000000.0,,
Commercial Paper,1997000000.0,1997000000.0,7979000000.0,9923000000.0,5982000000.0,,
Payables And Accrued Expenses,57349000000.0,70587000000.0,91795000000.0,50374000000.0,54126000000.0,,
Current Accrued Expenses,,,8919000000.0,,,,
Payables,57349000000.0,70587000000.0,82876000000.0,50374000000.0,54126000000.0,,
Total Tax Payable,,,13016000000.0,,,,26601000000.0
Income Tax Payable,,,13016000000.0,,,,26601000000.0
Accounts Payable,57349000000.0,70587000000.0,69860000000.0,50374000000.0,54126000000.0,,
Total Assets,371082000000.0,379297000000.0,359241000000.0,331495000000.0,331233000000.0,,
Total Non Current Assets,226968000000.0,221193000000.0,211284000000.0,209004000000.0,212559000000.0,,
Other Non Current Assets,77430000000.0,93146000000.0,62950000000.0,82882000000.0,81259000000.0,,
Non Current Deferred Assets,,,20777000000.0,,,,19499000000.0
Non Current Deferred Taxes Assets,,,20777000000.0,,,,19499000000.0
Investments And Advances,78088000000.0,77888000000.0,77723000000.0,77614000000.0,84424000000.0,,
Investmentin Financial Assets,78088000000.0,77888000000.0,77723000000.0,77614000000.0,84424000000.0,,
Available For Sale Securities,78088000000.0,77888000000.0,77723000000.0,77614000000.0,84424000000.0,,
Goodwill And Other Intangible Assets,21334000000.0,,,,,,
Net PPE,50116000000.0,50159000000.0,49834000000.0,48508000000.0,46876000000.0,,
Accumulated Depreciation,-77441000000.0,-77161000000.0,-76014000000.0,-75803000000.0,-74303000000.0,,
Gross PPE,127557000000.0,127320000000.0,125848000000.0,124311000000.0,121179000000.0,,
Leases,,,15091000000.0,,,,14233000000.0
Machinery Furniture Equipment,,,83420000000.0,,,,80205000000.0
Land And Improvements,,,27337000000.0,,,,24690000000.0
Properties,,,0.0,,,,0.0
Current Assets,144114000000.0,158104000000.0,147957000000.0,122491000000.0,118674000000.0,,
Other Current Assets,15349000000.0,15002000000.0,14585000000.0,14359000000.0,14109000000.0,,
