# Income Statement data for AAPL (quarterly)
# Data retrieved on: 2026-06-20 23:11:24

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.175,0.175,0.162724,0.164,0.154555
Normalized EBITDA,39324000000.0,54066000000.0,35554000000.0,31032000000.0,32250000000.0
Net Income From Continuing Operation Net Minority Interest,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Reconciled Depreciation,3439000000.0,3214000000.0,3127000000.0,2830000000.0,2661000000.0
Reconciled Cost Of Revenue,56403000000.0,74525000000.0,54125000000.0,50318000000.0,50492000000.0
EBITDA,39324000000.0,54066000000.0,35554000000.0,31032000000.0,32250000000.0
EBIT,35885000000.0,50852000000.0,32427000000.0,28202000000.0,29589000000.0
Normalized Income,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Net Income From Continuing And Discontinued Operation,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Total Expenses,75299000000.0,92904000000.0,70039000000.0,65834000000.0,65770000000.0
Total Operating Income As Reported,35885000000.0,50852000000.0,32427000000.0,28202000000.0,29589000000.0
Diluted Average Shares,14725873000.0,14810356000.0,14863609000.0,14948179000.0,15056133000.0
Basic Average Shares,14673278000.0,14748158000.0,14815307000.0,14902886000.0,14994082000.0
Diluted EPS,2.01,2.84,1.85,1.57,1.65
Basic EPS,2.02,2.85,1.85,1.57,1.65
Diluted NI Availto Com Stockholders,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Net Income Common Stockholders,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Net Income,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Net Income Including Noncontrolling Interests,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Net Income Continuous Operations,29578000000.0,42097000000.0,27466000000.0,23434000000.0,24780000000.0
Tax Provision,6255000000.0,8905000000.0,5338000000.0,4597000000.0,4530000000.0
Pretax Income,35833000000.0,51002000000.0,32804000000.0,28031000000.0,29310000000.0
Other Income Expense,-52000000.0,150000000.0,377000000.0,-171000000.0,-279000000.0
Other Non Operating Income Expenses,-52000000.0,150000000.0,377000000.0,-171000000.0,-279000000.0
Operating Income,35885000000.0,50852000000.0,32427000000.0,28202000000.0,29589000000.0
Operating Expense,18896000000.0,18379000000.0,15914000000.0,15516000000.0,15278000000.0
Research And Development,11419000000.0,10887000000.0,8866000000.0,8866000000.0,8550000000.0
Selling General And Administration,7477000000.0,7492000000.0,7048000000.0,6650000000.0,6728000000.0
Gross Profit,54781000000.0,69231000000.0,48341000000.0,43718000000.0,44867000000.0
Cost Of Revenue,56403000000.0,74525000000.0,54125000000.0,50318000000.0,50492000000.0
Total Revenue,111184000000.0,143756000000.0,102466000000.0,94036000000.0,95359000000.0
Operating Revenue,111184000000.0,143756000000.0,102466000000.0,94036000000.0,95359000000.0
