# Income Statement data for GOOGL (quarterly)
# Data retrieved on: 2026-06-20 23:11:32

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,7080508189.944711,272805123.092262,2196165000.0,233558000.0,1704742000.0,
Tax Rate For Calcs,0.191624,0.119181,0.205,0.169,0.173,
Normalized EBITDA,47477000000.0,43166000000.0,39028000000.0,37810000000.0,36456000000.0,
Total Unusual Items,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0,
Total Unusual Items Excluding Goodwill,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0,
Net Income From Continuing Operation Net Minority Interest,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Reconciled Depreciation,6482000000.0,6040000000.0,5611000000.0,4998000000.0,4487000000.0,
Reconciled Cost Of Revenue,41271000000.0,45767000000.0,41369000000.0,39039000000.0,36361000000.0,
EBITDA,84427000000.0,45455000000.0,49741000000.0,39192000000.0,46310000000.0,
EBIT,77945000000.0,39415000000.0,44130000000.0,34194000000.0,41823000000.0,
Net Interest Income,848000000.0,911000000.0,933000000.0,789000000.0,967000000.0,
Interest Expense,533000000.0,298000000.0,143000000.0,261000000.0,34000000.0,
Interest Income,1381000000.0,1209000000.0,1076000000.0,1050000000.0,1001000000.0,
Normalized Income,32708508189.94471,32438805123.092262,26462165000.0,27047558000.0,26390742000.0,
Net Income From Continuing And Discontinued Operation,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Total Expenses,70200000000.0,77895000000.0,71118000000.0,65157000000.0,59628000000.0,
Total Operating Income As Reported,39696000000.0,35934000000.0,31228000000.0,31271000000.0,30606000000.0,
Diluted Average Shares,12238000000.0,12228000000.0,12203000000.0,12198000000.0,12291000000.0,
Basic Average Shares,12099000000.0,12073000000.0,12086000000.0,12122000000.0,12183000000.0,
Diluted EPS,5.11,2.82,2.87,2.31,2.81,
Basic EPS,5.17,2.85,2.89,2.33,2.84,
Diluted NI Availto Com Stockholders,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Average Dilution Earnings,0.0,,,,0.0,
Net Income Common Stockholders,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Net Income,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Net Income Including Noncontrolling Interests,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Net Income Continuous Operations,62578000000.0,34455000000.0,34979000000.0,28196000000.0,34540000000.0,
Tax Provision,14834000000.0,4662000000.0,9008000000.0,5737000000.0,7249000000.0,
Pretax Income,77412000000.0,39117000000.0,43987000000.0,33933000000.0,41789000000.0,
Other Income Expense,36868000000.0,2272000000.0,11826000000.0,1873000000.0,10216000000.0,
Other Non Operating Income Expenses,-142000000.0,69000000.0,1143000000.0,72000000.0,384000000.0,
Special Income Charges,,-86000000.0,-30000000.0,419000000.0,-22000000.0,-87000000.0
Write Off,,86000000.0,30000000.0,-419000000.0,22000000.0,87000000.0
Earnings From Equity Interest,60000000.0,-86000000.0,-30000000.0,419000000.0,-22000000.0,
Gain On Sale Of Security,36950000000.0,2289000000.0,10713000000.0,1382000000.0,9854000000.0,
Net Non Operating Interest Income Expense,848000000.0,911000000.0,933000000.0,789000000.0,967000000.0,
Interest Expense Non Operating,533000000.0,298000000.0,143000000.0,261000000.0,34000000.0,
Interest Income Non Operating,1381000000.0,1209000000.0,1076000000.0,1050000000.0,1001000000.0,
Operating Income,39696000000.0,35934000000.0,31228000000.0,31271000000.0,30606000000.0,
Operating Expense,28929000000.0,32128000000.0,29749000000.0,26118000000.0,23267000000.0,
Research And Development,17032000000.0,18572000000.0,15151000000.0,13808000000.0,13556000000.0,
Selling General And Administration,11897000000.0,13556000000.0,14598000000.0,12310000000.0,9711000000.0,
Selling And Marketing Expense,7606000000.0,8215000000.0,7205000000.0,7101000000.0,6172000000.0,
General And Administrative Expense,4291000000.0,5341000000.0,7393000000.0,5209000000.0,3539000000.0,
Other Gand A,4291000000.0,5341000000.0,7393000000.0,5209000000.0,3539000000.0,
Gross Profit,68625000000.0,68062000000.0,60977000000.0,57389000000.0,53873000000.0,
Cost Of Revenue,41271000000.0,45767000000.0,41369000000.0,39039000000.0,36361000000.0,
Total Revenue,109896000000.0,113829000000.0,102346000000.0,96428000000.0,90234000000.0,
Operating Revenue,109896000000.0,113829000000.0,102346000000.0,96428000000.0,90234000000.0,
