# Stock data for GOOGL from 2021-06-20 to 2026-06-20
# Total records: 1255
# Data retrieved on: 2026-06-20 23:11:25

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-21,119.44,120.93,118.84,120.74,27414000,0.0,0.0
2021-06-22,120.68,121.32,120.0,121.26,22390000,0.0,0.0
2021-06-23,121.02,122.01,120.76,121.05,19148000,0.0,0.0
2021-06-24,121.62,121.97,121.23,121.42,21362000,0.0,0.0
2021-06-25,120.93,121.56,120.5,121.43,34594000,0.0,0.0
2021-06-28,121.6,121.71,120.34,121.46,28526000,0.0,0.0
2021-06-29,121.59,121.94,120.62,121.2,23108000,0.0,0.0
2021-06-30,120.92,121.18,120.29,121.02,24474000,0.0,0.0
2021-07-01,120.66,121.51,120.46,121.37,18110000,0.0,0.0
2021-07-02,122.07,124.3,121.98,124.16,25982000,0.0,0.0
2021-07-06,124.54,125.32,123.49,125.08,26404000,0.0,0.0
2021-07-07,126.04,126.17,125.04,125.36,24060000,0.0,0.0
2021-07-08,122.94,124.49,122.93,123.94,23790000,0.0,0.0
2021-07-09,123.93,124.63,123.46,124.42,18632000,0.0,0.0
2021-07-12,125.07,125.95,124.51,125.86,17668000,0.0,0.0
2021-07-13,125.92,126.93,125.56,126.22,19240000,0.0,0.0
2021-07-14,126.83,128.19,126.79,127.11,23742000,0.0,0.0
2021-07-15,127.52,127.57,125.42,125.89,24218000,0.0,0.0
2021-07-16,126.54,126.69,125.04,125.85,20424000,0.0,0.0
2021-07-19,124.98,125.1,122.42,123.48,27968000,0.0,0.0
2021-07-20,124.42,125.93,123.26,125.1,26312000,0.0,0.0
2021-07-21,125.02,126.47,124.92,126.43,20746000,0.0,0.0
2021-07-22,126.72,127.35,126.38,127.29,14302000,0.0,0.0
2021-07-23,129.28,132.23,128.66,131.85,41506000,0.0,0.0
2021-07-26,132.16,133.06,131.14,132.86,30572000,0.0,0.0
2021-07-27,133.07,133.22,128.96,130.74,54710000,0.0,0.0
2021-07-28,135.11,137.08,134.09,134.9,95130000,0.0,0.0
2021-07-29,134.95,135.46,134.35,134.58,31716000,0.0,0.0
2021-07-30,133.85,134.12,133.08,133.54,25576000,0.0,0.0
2021-08-02,133.93,134.15,132.62,133.67,21634000,0.0,0.0
2021-08-03,133.95,134.54,132.15,134.44,20762000,0.0,0.0
2021-08-04,134.16,134.46,133.3,133.94,19676000,0.0,0.0
2021-08-05,134.49,135.15,133.66,135.05,17870000,0.0,0.0
2021-08-06,134.85,135.27,134.02,134.55,20488000,0.0,0.0
2021-08-09,134.75,135.98,134.15,135.71,17760000,0.0,0.0
2021-08-10,136.13,136.56,135.17,135.6,19414000,0.0,0.0
2021-08-11,135.98,136.47,135.07,135.08,15352000,0.0,0.0
2021-08-12,134.78,136.09,134.24,135.99,16506000,0.0,0.0
2021-08-13,136.04,136.64,135.83,136.52,15948000,0.0,0.0
2021-08-16,136.32,137.15,134.11,137.09,22384000,0.0,0.0
2021-08-17,136.54,137.05,134.89,135.46,21716000,0.0,0.0
2021-08-18,135.3,135.9,134.13,134.26,19258000,0.0,0.0
2021-08-19,133.25,135.15,133.07,134.49,21782000,0.0,0.0
2021-08-20,134.8,136.34,134.06,136.22,31194000,0.0,0.0
2021-08-23,136.76,139.64,136.4,138.81,28454000,0.0,0.0
2021-08-24,139.38,140.83,139.11,140.02,19268000,0.0,0.0
2021-08-25,140.38,140.94,140.13,140.83,15848000,0.0,0.0
2021-08-26,140.5,141.17,140.11,140.2,20610000,0.0,0.0
2021-08-27,140.41,143.24,140.25,142.74,28780000,0.0,0.0
